dateid01,copper,cotton,maize,sugar,wheat,wool,zinc
1998-04-01,1800.13,65.7,106.69,9.68,130.15,379.81,1096.18
1998-05-01,1731.66,64.36,105.97,9.23,128.92,355.7,1060.37
1998-06-01,1656.6,68.94,101.75,8.1,120.64,348.24,1007.6
1998-07-01,1655.67,69.86,100.9,8.62,118.54,308.83,1043.5
1998-08-01,1619.93,68.18,88.36,8.48,107.95,296.93,1029.05
1998-09-01,1646.77,66.39,85.71,7.23,107.93,280.11,999.64
1998-10-01,1585.5,61.46,95.49,7.46,126.54,286.85,941.36
1998-11-01,1573.72,56.08,97.38,8.06,130.21,294.93,965.95
1998-12-01,1475.76,56,95.32,8.08,126.21,294.77,961.58
1999-01-01,1432,55.78,97.45,8.11,125.29,299.37,931.75
1999-02-01,1412.95,56.19,94.56,6.82,117.03,287.1,1017.6
1999-03-01,1378.48,56.71,96.43,6.03,117.34,297.46,1028.8
1999-04-01,1463.73,57.74,94.04,5.42,113.87,298.88,1018.18
1999-05-01,1510.45,59.9,92.72,5.75,113,288.74,1039.92
1999-06-01,1422.16,58.5,92.95,6.04,111.41,288.32,999.91
1999-07-01,1639.18,54.41,83.6,5.38,103.02,286.32,1071.23
1999-08-01,1646.74,50.98,86.38,5.72,111.41,254.34,1129.69
1999-09-01,1749.68,49.48,87.12,6.67,113.19,247.09,1192.93
1999-10-01,1723.29,47.43,85.65,6.75,108.1,247.29,1147.98
1999-11-01,1726.77,46.21,85.41,6.51,108.8,255.49,1146.39
1999-12-01,1764.88,44.2,87.22,5.98,102.16,267.26,1185.24
2000-01-01,1843.85,47.43,92.95,5.63,105.83,276.44,1178.58
2000-02-01,1807.03,53.44,95.08,5.35,108.41,260.07,1098.25
2000-03-01,1739.8,57.3,95.17,5.11,105.7,267.1,1113
2000-04-01,1681.91,58.77,95.54,6.01,105.11,273.81,1132.52
2000-05-01,1785.1,60.5,95.53,6.78,110.78,290.37,1154.07
2000-06-01,1752.07,59.47,84.04,8.33,113.51,293.98,1116.19
2000-07-01,1803.14,58.39,75.06,9.64,108.98,302.36,1135.91
2000-08-01,1857.12,60.89,75.24,10.6,108.28,289.92,1172.55
2000-09-01,1961.89,61.64,80.15,9.86,117.49,283.27,1221.67
2000-10-01,1894.37,60.89,84.71,10.41,128.22,279.87,1091.61
2000-11-01,1795.6,63.98,88.94,9.51,127.73,267.66,1058.68
2000-12-01,1852.4,65.86,96.22,9.72,128.01,286.88,1059.33
2001-01-01,1787.06,64.18,94.3,10.06,132.84,309.69,1032.7
2001-02-01,1766.13,60.44,92.38,9.36,128.12,323.95,1021.58
2001-03-01,1742.16,54.56,91.01,8.72,130.28,315.36,1005.62
2001-04-01,1665.97,51.16,87.55,8.05,129.3,327.52,970.14
2001-05-01,1684.85,49.97,85.08,8.96,135,325.69,937.96
2001-06-01,1610.47,47.46,83.16,8.74,127.23,326.92,896.93
2001-07-01,1526.77,45.55,90.75,8.54,123.79,328.26,853.3
2001-08-01,1466.41,43.33,92.88,7.9,121.92,348.94,830.03
2001-09-01,1427.7,41.26,89.74,7.16,122.03,340.53,799.51
2001-10-01,1377.38,37.22,86.27,6.6,123.34,330.29,761.74
2001-11-01,1434.29,37.96,89.88,7.28,125.27,335.91,774.35
2001-12-01,1472.85,42.87,92.31,7.41,122.53,376.13,757.97
2002-01-01,1508.23,43.42,91.97,7.31,125.31,444.11,794.2
2002-02-01,1561.37,42.81,90.73,5.68,123.28,516.35,773.47
2002-03-01,1607.39,42.04,89.86,5.92,122.56,529.16,820
2002-04-01,1588.57,41.38,87.11,5.18,123.72,525.07,807.58
2002-05-01,1597.02,39.89,90.33,5.61,121.46,519.78,768.25
2002-06-01,1650.59,43.48,93.17,5.25,132.03,548.84,769.42
2002-07-01,1588.28,46.7,99.7,5.79,149.3,539.68,795.01
2002-08-01,1482.92,49.32,109.89,5.86,161.26,534.99,748.81
2002-09-01,1478.93,48.98,113.94,6.41,187.84,584.34,756.18
2002-10-01,1486.17,49.56,109.65,7.02,190.32,664.34,755.09
2002-11-01,1581.04,52.33,108.65,7.3,176.26,691.81,764.57
2002-12-01,1592.96,55.22,107.01,7.51,168.98,689.34,794.26
2003-01-01,1650.31,56.71,105.75,7.89,149.6,725.81,782.34
2003-02-01,1682.15,58.55,106.04,8.35,150.84,734.89,785.67
2003-03-01,1655.69,61.01,105.06,7.84,141.81,681.58,790.33
2003-04-01,1587.87,60.78,105.25,7.26,138.62,685.72,756.75
2003-05-01,1651.1,57.8,107.82,7.01,141.96,633.01,776.12
2003-06-01,1685.11,58.5,106.99,6.4,131.35,680.28,790.66
2003-07-01,1712.83,60.19,97.61,6.73,131.62,684.95,828.5
2003-08-01,1756.73,60.5,100.31,6.71,148.72,653.47,815.2
2003-09-01,1789.67,64.18,103.22,6.27,145.62,647.28,818.94
2003-10-01,1925.58,72.56,104.17,6.1,147.46,602.73,900.1
2003-11-01,2053.28,76.94,108.03,6.19,160.55,589.76,914.24
